X,13035P1,13035P2,13035P3,13035P4,14100P1,14100P2,14100P3,14100P4,14188P1,14188P2,14188P3,14188P4,14201P1,14201P2,14201P3,14201P4
K00001,40,27,23,62,51,54,38,98,26,78,36,200,57,33,53,58
K00002,30,12,21,52,68,94,20,51,48,52,51,48,32,51,57,46
K00003,115,87,45,104,124,232,124,171,56,131,78,291,114,87,166,100
K00004,0,1,0,0,0,2,0,0,0,2,0,2,0,0,0,4
K00005,3,2,1,11,11,6,7,18,1,3,2,33,2,6,3,10
K00008,89,97,90,105,110,132,105,189,35,81,91,222,63,50,100,133
K00009,44,40,31,42,67,71,12,73,50,70,29,78,5,14,63,41
K00010,91,70,76,111,124,193,88,141,55,144,73,223,48,63,115,167
K00011,1,2,1,2,0,0,1,3,0,1,0,1,0,1,3,3
K00012,166,155,112,204,244,265,221,305,120,220,136,340,240,188,231,244
K00013,106,92,30,97,118,177,119,188,47,109,98,310,131,86,110,95
K00014,66,44,29,61,80,80,108,131,34,76,53,233,94,63,80,75
K00015,40,31,19,35,23,15,41,37,5,22,14,57,18,11,26,18
K00016,226,136,110,165,235,159,102,206,113,161,132,302,84,77,231,160
K00018,43,39,17,52,52,60,58,60,18,42,33,185,82,45,63,66
K00019,0,1,0,4,3,6,1,2,0,3,2,3,2,2,4,6
K00020,10,9,4,13,11,10,6,9,7,19,6,29,8,8,19,6
K00021,6,0,4,14,14,16,5,6,3,14,9,5,10,10,14,11
K00023,0,0,0,1,0,0,0,1,0,3,1,0,0,1,3,0
K00024,285,204,200,291,280,338,252,393,206,261,238,302,255,250,312,318
K00027,523,434,462,667,639,770,415,596,445,558,538,460,516,595,644,565
K00028,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K00029,63,27,18,42,65,102,71,105,36,83,43,134,86,54,67,85
K00030,5,5,5,6,7,17,9,15,1,7,13,27,19,15,9,13
K00031,134,86,44,107,119,159,148,143,45,124,88,331,134,88,121,170
K00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00033,19,16,11,34,26,42,5,41,15,27,28,33,11,27,39,33
K00034,5,0,3,8,12,16,11,16,1,5,8,19,3,6,5,13
