,1612P1,1612P2,1612P3,1612P4,2046P1,2046P2,2046P3,2046P4,2175P1,2175P2,2175P3,2175P4,2179P1,2179P2,2179P3,2179P4
K00001,46,173,31,115,20,150,58,66,55,110,203,38,202,174,34,81
K00002,148,175,102,80,100,70,124,119,128,167,98,138,160,193,123,174
K00003,92,320,58,186,69,213,137,132,82,259,412,80,341,379,67,158
K00004,2,3,0,3,1,1,1,1,3,2,2,1,0,11,2,0
K00005,13,61,2,25,2,36,14,20,18,29,58,7,41,81,8,20
K00008,143,237,71,98,60,121,131,140,99,208,243,123,296,319,73,191
K00009,42,62,27,27,37,18,26,28,24,51,32,40,63,66,27,57
K00010,140,366,69,164,66,124,151,185,104,309,319,119,336,532,76,241
K00011,2,4,0,1,0,1,1,1,0,3,4,2,2,4,2,2
K00012,213,632,121,432,168,496,264,361,220,387,729,233,652,645,173,280
K00013,84,337,58,249,58,304,108,153,96,200,459,92,317,351,62,103
K00014,79,247,37,177,35,174,81,120,75,188,320,58,336,285,45,101
K00015,16,53,5,48,10,46,16,24,19,36,55,14,65,60,4,33
K00016,109,203,77,159,67,187,126,142,102,175,310,103,258,184,93,120
K00018,50,185,41,169,27,180,69,97,38,129,349,56,234,213,26,98
K00019,6,14,2,4,1,9,12,10,7,11,7,8,12,29,1,10
K00020,7,16,7,10,2,17,10,16,6,11,20,10,25,21,2,7
K00021,6,27,12,5,9,8,11,8,7,22,12,15,13,20,7,9
K00023,2,3,2,0,4,0,1,1,0,2,1,2,1,2,1,2
K00024,209,367,158,286,185,328,324,377,237,238,436,285,519,467,230,325
K00027,510,456,464,428,512,376,661,637,490,568,581,702,740,691,563,674
K00028,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
K00029,63,240,36,183,42,227,82,128,79,124,296,86,252,277,56,102
K00030,16,54,12,29,7,41,18,22,21,37,50,12,39,49,7,16
K00031,127,333,59,182,62,257,139,176,112,325,392,141,375,448,120,234
K00032,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00033,45,151,17,35,22,35,44,38,50,126,48,43,81,130,15,65
K00034,11,30,7,27,7,28,25,16,9,28,63,9,30,36,13,15
K00035,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
K00036,0,1,0,0,0,1,1,3,0,6,2,1,0,3,0,0
K00037,0,0,0,0,2,3,0,2,2,2,7,0,1,1,3,0
K00038,4,10,2,8,2,5,6,4,1,12,10,4,10,13,7,13
K00039,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
K00040,189,360,90,265,113,224,218,196,150,288,470,205,382,397,129,213
K00041,262,596,133,386,182,334,267,360,277,361,639,222,599,682,175,308
K00042,51,94,24,52,25,52,48,62,42,103,154,52,107,100,39,71
K00043,5,11,10,5,1,10,4,10,5,9,14,5,10,16,1,19
K00044,8,7,4,1,1,5,6,2,1,6,14,0,8,8,1,11
K00045,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0
K00046,265,502,171,313,159,347,275,315,231,329,578,248,460,544,200,297
K00048,168,346,91,218,69,211,156,191,149,267,303,156,345,383,95,212
K00050,38,59,15,40,16,31,20,20,22,61,75,15,98,90,12,35
K00051,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
K00052,50,267,38,173,45,200,95,113,91,178,397,66,283,288,49,105
K00053,141,388,95,280,97,378,189,245,189,337,633,151,565,452,124,206
K00054,8,7,5,2,2,1,12,3,4,15,1,6,4,6,4,8
K00055,4,8,0,1,0,4,6,4,1,3,5,2,8,5,1,3
K00057,112,404,54,290,58,343,119,164,128,220,510,105,425,382,52,136
K00058,346,934,181,538,205,658,407,481,372,731,1089,347,974,1054,240,511
K00059,301,1043,161,548,159,685,364,493,307,643,1071,354,906,1079,225,448
K00060,33,87,11,27,9,31,26,31,11,43,38,20,43,79,11,33
K00062,3,32,2,31,4,33,13,10,3,14,49,5,37,35,4,8
K00064,13,57,5,42,15,38,16,21,14,11,75,6,44,44,7,13
K00065,8,57,7,22,11,12,27,29,23,51,36,15,63,78,11,40
K00066,8,22,1,21,3,21,12,5,3,7,29,3,11,23,1,2
K00067,98,412,56,334,70,391,148,218,105,253,628,120,500,436,65,146
K00068,13,21,5,12,2,22,20,23,22,21,32,13,37,50,3,21
K00071,0,1,0,2,0,2,1,1,0,1,1,0,11,2,0,0
K00073,3,16,1,2,0,3,7,1,3,5,2,0,8,15,1,6
K00074,220,326,112,271,100,290,202,208,209,337,457,201,585,463,125,316
K00075,108,389,53,313,50,380,135,159,116,234,581,103,513,398,58,122
K00076,1,2,0,2,1,0,3,0,0,0,6,2,4,1,1,3
K00077,62,140,31,146,26,123,73,72,48,94,210,53,247,167,24,82
K00078,8,71,6,77,12,78,27,42,20,27,90,20,86,83,9,34
K00079,16,36,3,22,8,20,11,18,14,23,35,4,35,37,4,14
K00082,14,19,18,20,26,9,21,25,30,15,17,35,18,17,26,17
K00086,24,39,7,30,10,44,24,36,20,57,67,22,73,50,8,30
K00087,100,284,73,106,42,218,125,100,100,208,247,80,235,373,60,168
K00088,324,994,185,615,262,758,467,478,422,684,1099,356,903,1099,274,585
K00090,3,5,0,0,0,0,0,0,0,1,1,0,0,2,0,0
K00091,57,88,46,79,30,88,57,47,52,70,95,64,130,118,27,60
K00094,3,6,2,3,0,3,5,2,2,3,5,0,2,12,2,4
K00096,62,167,26,102,29,119,55,64,43,107,123,48,148,197,36,87
K00097,74,314,36,265,58,233,115,160,75,176,479,82,305,328,60,111
K00098,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0
K00099,95,478,53,239,68,294,135,200,130,241,588,107,484,455,70,209
K00100,939,2289,700,1603,716,1702,1288,1289,969,1475,2580,1137,2232,2460,790,1201
K00101,0,5,1,5,4,5,1,1,0,4,15,0,5,5,0,3
K00102,33,100,18,89,18,121,45,61,26,57,135,45,119,109,19,46
K00103,0,4,0,7,0,18,0,1,0,6,19,0,28,0,1,0
K00104,135,337,70,225,68,310,157,164,125,305,371,134,415,412,83,209
K00106,1,14,3,2,0,3,2,3,5,3,6,1,5,13,2,5
K00108,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
K00111,161,447,78,249,73,303,150,205,156,351,438,176,463,533,93,249
K00112,8,38,3,16,9,27,11,38,18,19,56,23,40,54,8,16
K00113,8,36,4,14,3,26,11,11,8,11,21,10,21,40,3,16
K00114,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
K00116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
K00117,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
K00118,15,56,8,21,8,42,26,24,11,44,45,21,53,70,25,29
K00119,1,4,2,1,0,0,0,0,0,0,0,3,1,1,0,0
K00120,4,5,2,2,1,2,3,5,3,2,11,5,4,8,6,2
K00121,2,1,1,0,0,0,3,1,1,1,0,2,1,6,1,2
K00122,49,83,30,37,27,66,54,43,54,78,92,45,108,93,31,71
K00123,446,988,257,523,209,667,472,472,376,888,902,390,1220,1230,300,646
K00124,10,20,3,9,5,12,18,8,11,33,14,9,43,35,7,31
K00125,58,88,50,63,48,60,80,66,70,108,90,77,102,149,65,117
K00127,0,3,0,2,1,3,0,3,0,4,3,2,3,14,1,4
K00128,90,101,98,92,93,139,127,127,84,112,101,168,135,192,110,120
K00130,0,3,1,8,0,1,2,1,3,2,3,11,1,9,1,5
K00131,3,7,2,2,1,1,0,2,0,7,1,1,0,10,2,6
K00132,38,66,10,30,16,43,36,26,19,65,53,34,91,70,17,52
K00133,129,446,81,277,74,407,159,209,151,332,604,129,544,530,88,198
K00134,1096,2024,758,1432,730,1492,1095,1235,1078,1718,2088,1000,2223,2240,801,1459
K00135,4,13,2,11,0,7,7,4,4,8,12,1,9,30,2,7
K00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00140,10,31,9,25,8,25,13,27,10,35,45,18,44,41,8,22
K00143,7,23,7,11,1,15,5,15,8,7,21,4,19,28,5,6
K00145,65,263,29,133,28,153,90,124,67,130,276,63,269,279,47,107
K00146,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
K00147,100,352,37,199,56,291,103,135,104,228,431,85,352,376,55,140
K00150,36,76,32,52,23,40,43,37,28,70,60,38,87,76,20,43
K00151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
K00153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
K00154,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
K00155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
K00158,3,5,2,3,0,2,3,1,4,3,4,1,3,4,1,3
K00161,7,23,2,10,10,18,15,22,11,20,17,7,41,30,4,13
K00162,8,24,4,14,8,14,11,11,6,12,22,11,37,27,9,11
K00163,0,4,0,3,1,4,2,2,0,0,0,2,0,0,1,0
K00164,1,2,1,2,0,1,0,0,0,1,1,2,1,1,1,0
K00166,0,1,0,0,0,1,2,1,0,0,0,1,1,0,0,0
