,1612P1,1612P2,1612P3,1612P4,2046P1,2046P2,2046P3,2046P4,2175P1,2175P2,2175P3,2175P4,2179P1,2179P2,2179P3,2179P4
Methanobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Methanobacterium_bryantii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanobrevibacter,436,542,294,283,333,201,361,352,458,594,319,391,481,631,364,450
Methanobrevibacter_arboriphilus,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Methanosphaera,43,37,16,17,27,11,25,27,28,41,21,27,22,35,24,20
uncl_Methanobacteriaceae,2,2,0,0,0,0,0,0,0,5,0,2,2,0,0,0
Methanimicrococcus,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
uncl_Methanomassiliicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
vadinCA11,82,125,43,27,20,11,23,37,123,189,20,68,29,94,54,14
uncl_iii1-15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
uncl_DS-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Arcanobacterium,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
uncl_Actinomycetaceae,2,0,0,0,0,0,2,0,2,2,4,0,0,22,0,0
Brevibacterium,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Brevibacterium_casei,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Corynebacterium,0,5,0,4,0,0,0,0,0,5,5,7,0,3,0,0
Corynebacterium_variabile,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Brachybacterium,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Agrococcus_jenensis,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Microbacterium,7,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Arthrobacter,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncl_Nocardiaceae,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardiopsis,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
uncl_Nocardiopsaceae,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Luteococcus,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
uncl_Propionibacteriaceae,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0
Streptomyces,0,0,0,0,10,2,0,0,0,0,0,2,0,0,0,0
Bifidobacterium,455,397,355,883,322,249,586,917,548,58,1008,646,551,959,371,721
Bifidobacterium_adolescentis,29,27,13,30,10,7,3,49,33,0,77,21,44,63,32,37
Bifidobacterium_animalis,4,7,9,3,0,3,0,0,7,0,23,9,25,18,0,9
Bifidobacterium_bifidum,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0
Bifidobacterium_breve,14,6,0,0,18,8,10,0,17,3,33,24,7,13,25,0
Bifidobacterium_longum,17,9,0,23,14,2,18,46,21,0,55,8,19,7,2,12
Bifidobacterium_pseudolongum,35,21,3,9,0,4,3,4,48,0,36,38,34,29,10,28
Bifidobacterium_thermacidophilum,13,0,0,25,15,8,0,0,0,0,38,0,0,0,11,0
Gardnerella,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
uncl_Bifidobacteriaceae,21,16,2,34,22,515,24,36,23,0,36,4,56,45,30,0
Scardovia,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Adlercreutzia,0,2,0,8,13,2,2,8,4,12,4,4,10,15,2,0
Atopobium,27,15,7,14,17,12,15,20,30,32,14,4,36,30,14,8
Atopobium_rimae,0,0,0,0,0,0,0,6,0,0,6,0,7,13,0,0
Collinsella,9,19,9,4,14,0,16,7,7,26,4,9,24,10,5,5
Collinsella_aerofaciens,0,0,0,13,0,0,11,0,4,3,0,7,0,0,0,0
Collinsella_stercoris,7,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
Eggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggerthella_lenta,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
uncl_Coriobacteriaceae,1082,1384,505,517,454,649,684,838,636,1500,907,524,2184,905,434,510
Slackia,0,8,20,0,0,0,4,0,0,3,0,0,0,2,0,0
uncl_OPB41,6,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0
