X,X1612P1,X1612P2,X1612P3,X1612P4,X2046P1,X2046P2,X2046P3,X2046P4,X2175P1,X2175P2,X2175P3,X2175P4,X2179P1,X2179P2,X2179P3,X2179P4
Acetate-mmol-l,82.78,36.63,44.72,31.16,77.81,33.53,42.97,46.17,48.7,35.71,34.52,76.72,85.4,38.53,49.99,44.33
propionate-mmol-l,15.68,7.16,8.57,8.29,15.08,10.9,9.87,10.57,7.9,6.61,10.26,19.06,29.9,7.99,9.61,9.25
iso-butyrate-mmol-l,0.93,0.39,0.42,0.38,1.09,0.47,0.49,0.44,0.64,0.41,0.34,0.87,1.19,0.52,0.54,0.59
butyrate-mmol-l,11.46,4.2,6.6,2.61,11.73,2.66,6.3,6.87,8.05,4.21,2.66,11.41,11.34,5.31,6.97,6.27
iso-valerate-mmol-l,1.13,0.46,0.54,0.39,1.47,0.8,0.58,0.53,1.01,0.53,0.59,1.17,1.83,0.67,0.77,0.91
valerate-mmol-l,0.71,0.32,0.38,0.35,0.81,0.47,0.44,0.55,0.57,0.33,0.35,0.79,1.48,0.44,0.46,0.46
caproate-mmol-l,0.25,0.09,0.12,0.09,0.23,0.03,0.11,0.13,0.3,0.12,0.05,0.22,0.19,0.11,0.16,0.14
TOTAL-mmol-l,112.95,49.24,61.35,43.27,108.22,48.87,60.77,65.25,67.16,47.91,48.76,110.24,131.32,53.57,68.51,61.94
Acetate-%-total,73.29,74.39,72.89,72.03,71.9,68.61,70.71,70.76,72.52,74.53,70.79,69.6,65.03,71.92,72.97,71.56
propionate-%-total,13.88,14.54,13.97,19.15,13.93,22.31,16.24,16.19,11.75,13.79,21.03,17.29,22.77,14.91,14.03,14.93
iso-butyrate-%-total,0.82,0.78,0.69,0.87,1.01,0.97,0.81,0.67,0.95,0.85,0.69,0.78,0.91,0.97,0.79,0.96
butyrate-%-total,10.15,8.52,10.76,6.03,10.84,5.45,10.37,10.53,11.99,8.79,5.46,10.35,8.63,9.92,10.18,10.11
iso-valerate-%-total,1,0.93,0.88,0.91,1.36,1.63,0.96,0.81,1.51,1.1,1.2,1.06,1.39,1.26,1.13,1.47
valerate-%-total,0.63,0.65,0.61,0.81,0.74,0.97,0.72,0.85,0.84,0.68,0.72,0.72,1.12,0.82,0.67,0.75
caproate-%--total,0.22,0.17,0.2,0.2,0.21,0.06,0.18,0.19,0.45,0.25,0.1,0.2,0.15,0.21,0.23,0.22
NH3-(mMol)- ,3.76,3.36,3.81,2.1,6.48,0.31,4.38,2.95,7,6.56,1.6,5.7,2.23,6.14,7.34,6.89
C2-C3,5.279336735,5.115921788,5.218203034,3.758745476,5.159814324,3.076146789,4.353596758,4.368022706,6.164556962,5.402420575,3.364522417,4.025183631,2.856187291,4.822277847,5.201873049,4.792432432
C2C4-C3,6.010204082,5.702513966,5.988331389,4.07358263,5.937665782,3.320183486,4.99189463,5.017975402,7.183544304,6.039334342,3.623781676,4.623819517,3.235451505,5.486858573,5.927159209,5.47027027
logento<,4.059437188,3.425968732,4.73346477,4.698970004,5.73239376,3.380211242,5.161368002,4.979244778,4.146128036,3.924279286,4.434568904,5.371683446,5.491361694,4.617699126,5.532329641,5.232148706
logento>,3.903089987,1.823908741,4.863719295,2.823908741,4.501515694,0,4.471291711,4.301029996,3.726998728,3.539912085,3.271066772,4.609238576,3.630088715,3.301029996,4.73239376,3.865301426
logiso,3.425968732,2.726998728,4.141972076,0,3.903089987,1.823908741,3.917330426,3.124938737,0,3,2.726998728,3.865301426,3.539912085,3.028028724,3.301029996,4.166331422
logdasy,3.271066772,3.522878745,4.543240028,0,3.944482672,0,0,3.425968732,3.937852093,3.436692598,0,0,2.425968732,3.028028724,3.669006781,3.970036777
logtot,4.380211242,3.819543936,5.245512668,4.704722333,5.769771065,3.392110465,5.262134549,5.076761772,4.447158031,4.193124598,4.471291711,5.452297671,5.50242712,4.658964843,5.603505232,5.305351369
MSI-(kg-j),17.78152,20.00946,18.74302,15.46631,20.35552,18.11234,19.11032,19.28857,17.87162,19.78074,18.57347,18.90871,19.73024,20.42452,20.0174,19.83983
MOI-(kg-j),15.96765689,17.97569532,17.38166023,13.67569768,18.42339405,15.87604221,17.03581298,17.81188745,16.48272265,17.50341056,16.38734971,17.13699134,17.38022507,18.71096061,18.12263426,17.72462684
CH4-(g-j),367.6164334,421.499146,389.1695682,279.669067,311.943073,199.5261156,288.2522115,325.5345548,388.9517555,320.5344823,262.7430728,322.9806717,287.0112168,380.9114707,369.7444232,309.8721857
CH4-MSI- ,20.67407249,21.06499356,20.76343984,18.08246873,15.32474106,11.01603192,15.08358895,16.87707045,21.76365408,16.20437265,14.14614893,17.08105268,14.54676764,18.64971469,18.47115126,15.61869158
CH4-CO2,0.036346571,0.035046891,0.036003477,0.027032744,0.033138487,0.020945527,0.031696377,0.033531447,0.035356311,0.032644697,0.027454349,0.034743653,0.025776012,0.036652691,0.036435396,0.034787539
