X,X13035P1,X13035P2,X13035P3,X13035P4,X14100P1,X14100P2,X14100P3,X14100P4,X14188P1,X14188P2,X14188P3,X14188P4,X14201P1,X14201P2,X14201P3,X14201P4
Acetate mmol/l,27.22,6.05,14.94,27.26,30.05,21.68,16.61,61.72,29.02,40.31,13.67,25.42,17.89,17.89,20.97,34.27
propionate mmol/l,7.17,2.17,3.89,6.03,6.78,5.72,4.78,22.78,6.84,13.21,3.34,7.52,4.53,4.53,7.04,7.55
iso butyrate mmol/l,0.71,0.38,0.41,0.82,0.71,0.52,0.47,0.77,0.92,1.16,0.38,0.65,0.23,0.23,0.46,0.79
butyrate mmol/l,5.76,1.09,3.67,6.05,5.83,3.94,2.39,8.86,6.24,8.21,3.13,2.73,3.37,3.37,4.43,5.81
iso valerate mmol/l,0.87,0.44,0.56,1.14,0.77,0.63,0.57,1,1.08,1.42,0.41,0.8,0.5,0.5,0.6,1.03
valerate mmol/l,0.45,0.16,0.31,0.42,0.38,0.35,0.38,0.84,0.51,0.83,0.23,0.81,0.35,0.35,0.39,0.46
caproate mmol/l,0.15,0.02,0.07,0.13,0.16,0.14,0.12,0.23,0.2,0.24,0.08,0.56,0.08,0.08,0.12,0.14
TOTAL mmol/l,42.33,10.32,23.85,41.86,44.68,32.98,25.32,96.11,44.81,65.38,21.31,38.49,26.94,26.94,34,50.04
Acetate %/total,64.31,58.64,62.62,65.13,67.25,65.74,65.61,64.22,64.77,61.65,64.13,66.04,66.4,66.4,61.68,68.48
propionate %/total,16.93,21.05,16.31,14.4,15.18,17.34,18.87,23.7,15.27,20.2,16.07,19.53,16.83,16.83,20.69,15.08
iso butyrate %/total,1.68,3.66,1.72,1.96,1.58,1.57,1.86,0.8,2.06,1.78,1.76,1.7,0.85,0.85,1.35,1.58
butyrate %/total,13.62,10.56,15.38,14.45,13.04,11.94,9.44,9.11,13.92,12.56,14.67,7.1,12.49,12.49,13.03,11.61
iso valerate %/total,2.05,4.29,2.36,2.73,1.73,1.91,2.24,1.04,2.4,2.18,1.91,2.07,1.85,1.85,1.75,2.05
valerate %/total,1.05,1.57,1.31,1.01,0.86,1.06,1.51,0.88,1.13,1.26,1.09,2.11,1.29,1.29,1.15,0.92
caproate % /total,0.36,0.22,0.29,0.32,0.36,0.43,0.48,0.24,0.44,0.37,0.36,1.46,0.3,0.3,0.34,0.28
NH3 (mMol),0,7,8.41,9.82,8.66,8.96,9.25,7.02,9.87,8.54,6.14,0.74,8.64,7.72,8.28,8.54
C2/C3,3.79637378,2.788018433,3.840616967,4.520729685,4.432153392,3.79020979,3.474895398,2.709394205,4.242690059,3.051476154,4.08914149,3.380319149,3.949227373,3.945847579,2.978693182,4.539072848
C2C4/C3,4.59972106,3.290322581,4.784061697,5.524046435,5.292035398,4.479020979,3.974895398,3.09833187,5.15497076,3.672975019,5.025426264,3.743351064,4.693156733,4.688209992,3.607954546,5.308609272
logento<,6.139879086,6.356981401,5.954242509,6.249198357,5.946943271,5.875061263,5.532329641,5.829303773,6.195899652,6.007178585,5.812913357,4.166331422,5.982271233,6.317018101,5.903089987,6.122215878
logento>,3.669006781,2.823908741,4.505149978,3.301029996,3.329058719,3.124938737,0,2.823908741,3.903089987,2.948847478,4.028028724,0,2.425968732,3.669006781,3.970036777,3.903089987
logiso,3.329058719,0,3.124938737,3.425968732,3.630088715,4.329058719,2.823908741,3.301029996,3.917330426,3.903089987,3.865301426,0,0,3.602059991,4.079181246,3.522878745
logdasy,3.806179974,2.823908741,0,4.255272505,4.587336735,4.522878745,0,0,4.720434958,4.079181246,4.531478917,0,2.124938737,4.204119983,4.514104821,4.146128036
logtot,6.144013466,6.357235858,5.970036777,6.254709166,5.96851408,5.906335042,5.533178702,5.831016124,6.214525955,6.01601136,5.846337112,4.166331422,5.982452151,6.322150354,5.931457871,6.130440989
DMI (kg/d),3.0669981,2.681459,3.2234418,2.8638028,2.397347,2.5234485,2.2571744,2.1378982,2.5056132,2.6722776,2.262734,1.8084164,2.497488,3.429594,2.63293,2.6311168
OMI (kg/d),2.760373039,2.353874169,2.864581085,2.644099796,2.211041242,2.244695916,1.970204117,1.933206636,2.234614218,2.403090291,2.099026811,1.595266565,2.064516238,3.141049606,2.384040895,2.35366837
CH4 (g/d),58.26783825,22.0227296,55.1079904,54.0082074,43.88631725,48.2021762,29.7754874,40.67127887,54.8510035,55.139779,56.8359574,25.66595033,45.6900355,54.2353916,38.421634,46.72989825
CH4/DMI,18.99832877,8.212965255,17.09600912,18.85891284,18.3062015,19.10170792,13.19148729,19.02395487,21.89124942,20.63400112,25.11826728,14.19250032,18.29439641,15.81393938,14.59272901,17.76048036
CH4/CO2,0.029414921,0.012070847,0.030170551,0.028721453,0.030161267,0.02984088,0.022784446,0.028740026,0.029055444,0.026420966,0.030097144,0.016649027,0.028660164,0.027012063,0.025872144,0.028091761
